City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Rabo De Peixe,PT,37.8,-25.5833,62.11,63,75,8.05,broken clouds
325,Ekangala,ZA,-25.6962,28.7492,56.3,45,0,4.76,clear sky
326,Maine-Soroa,NE,13.2114,12.0241,86.58,9,0,6.98,clear sky
327,Acari,PE,-15.4311,-74.6158,74.05,56,0,6.53,clear sky
328,Itaueira,BR,-7.6033,-43.0256,78.64,60,33,6.71,scattered clouds
329,Patacamaya,BO,-17.2333,-67.9167,53.1,28,100,6.6,overcast clouds
330,Westport,US,41.1415,-73.3579,72.95,64,0,12.66,clear sky
331,Salalah,OM,17.0151,54.0924,84.29,79,40,5.75,scattered clouds
332,Boa Vista,BR,2.8197,-60.6733,84.18,74,20,4.61,few clouds
333,Korla,CN,41.7597,86.1469,82.18,17,100,5.57,overcast clouds
334,Nadym,RU,65.5333,72.5167,50.25,45,100,15.12,overcast clouds
335,Yar-Sale,RU,66.8333,70.8333,35.47,78,84,11.03,broken clouds
336,Atar,MR,20.5169,-13.0499,97.65,9,88,9.44,overcast clouds
337,Lancaster,US,40.2504,-76.2499,74.07,54,20,12.66,few clouds
338,Saint-Augustin,CA,51.226,-58.6502,56.8,50,100,25.64,overcast clouds
339,Butembo,CD,0.15,29.2833,56.53,97,99,2.77,overcast clouds
340,Rio Gallegos,AR,-51.6226,-69.2181,42.85,70,0,19.57,clear sky
341,Mogadishu,SO,2.0371,45.3438,79.43,85,100,12.86,overcast clouds
342,Otjiwarongo,NA,-20.4637,16.6477,55.26,28,0,7.0,clear sky
343,Black River,JM,18.0264,-77.8487,86.16,61,54,19.89,broken clouds
344,Lubumbashi,CD,-11.6609,27.4794,57.09,50,2,2.24,clear sky
345,Oban,GB,56.4127,-5.4706,47.37,81,26,13.04,scattered clouds
346,Tsiroanomandidy,MG,-18.7667,46.0333,62.8,76,1,1.1,clear sky
347,Taoudenni,ML,22.6783,-3.9836,98.64,8,100,3.11,overcast clouds
348,Salekhard,RU,66.53,66.6019,44.35,65,100,16.78,overcast clouds
349,Tabatinga,BR,-4.2525,-69.9381,84.29,74,40,3.44,scattered clouds
350,Nova Olimpia,BR,-14.7972,-57.2881,85.23,42,22,3.09,few clouds
351,Middelkerke,BE,51.1558,2.8418,58.23,88,100,11.5,overcast clouds
352,Jurado,CO,7.1053,-77.7641,81.81,77,98,7.43,light rain
353,Souris,CA,49.6172,-100.2612,70.74,43,99,14.14,overcast clouds
354,San Cristobal,VE,7.7669,-72.225,77.18,69,100,4.81,overcast clouds
355,Zaraza,VE,9.3503,-65.3245,85.08,57,96,8.08,overcast clouds
356,Storsteinnes,NO,69.2408,19.2344,59.65,64,30,6.49,scattered clouds
357,Necochea,AR,-38.5473,-58.7368,48.58,57,31,12.55,scattered clouds
358,Visby,SE,57.6409,18.296,52.02,76,0,9.22,clear sky
359,Zhezkazgan,KZ,47.8043,67.7144,71.78,28,0,10.38,clear sky
360,Aqtobe,KZ,50.2797,57.2072,48.29,76,0,0.0,clear sky
361,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.32,88,100,11.14,light rain
362,Schellenberg,LI,47.2312,9.5468,58.82,68,90,4.0,overcast clouds
363,Tonk,IN,26.1667,75.7833,88.38,28,15,6.44,few clouds
364,Bengkulu,ID,-3.8004,102.2655,74.53,84,100,3.83,overcast clouds
365,Kamina,CD,-8.7386,24.9906,63.73,57,11,1.74,few clouds
366,Voronovytsya,UA,49.1095,28.6808,57.76,75,61,14.67,broken clouds
367,Ponta Delgada,PT,37.7333,-25.6667,63.32,63,75,8.05,broken clouds
368,Uzhhorod,UA,48.6167,22.3,61.38,94,87,10.69,overcast clouds
369,Uyskoye,RU,54.3775,60.0047,47.08,85,0,2.91,clear sky
370,Koygorodok,RU,60.445,50.9968,42.64,88,100,4.72,overcast clouds
371,Den Helder,NL,52.9599,4.7593,57.97,89,75,21.0,broken clouds
372,Porto Santo,PT,33.072,-16.3415,64.78,72,75,8.05,broken clouds
373,Bandarbeyla,SO,9.4942,50.8122,79.95,86,44,19.8,scattered clouds
374,Manglaur,IN,29.8,77.8667,79.3,39,0,3.78,clear sky
375,Weligama,LK,5.9667,80.4167,78.1,89,100,7.43,overcast clouds
376,Tabas,IR,33.5959,56.9244,79.77,14,0,7.65,clear sky
377,Urumqi,CN,43.801,87.6005,77.95,34,0,6.71,clear sky
378,Dese,ET,11.1333,39.6333,58.48,36,6,2.8,clear sky
379,Pastos Bons,BR,-6.6017,-44.0767,79.47,58,36,9.15,scattered clouds
380,Mandera,KE,3.9366,41.867,83.32,57,88,13.82,overcast clouds
381,Mahajanga,MG,-15.7167,46.3167,75.22,83,0,2.3,clear sky
382,Riyadh,SA,24.6877,46.7219,86.14,18,0,7.92,clear sky
383,Curaca,BR,-8.9903,-39.9094,74.39,78,80,16.15,broken clouds
384,Bin Qirdan,TN,33.1378,11.2197,84.74,24,74,18.5,broken clouds
385,Glace Bay,CA,46.1969,-59.957,60.33,41,20,12.66,few clouds
386,Gat,IL,31.61,34.7642,77.4,70,0,5.86,clear sky
387,Barcelos,PT,41.5388,-8.6151,65.84,82,37,6.55,scattered clouds
388,Karlshamn,SE,56.1706,14.8619,52.92,93,83,7.56,broken clouds
389,Tutoia,BR,-2.7619,-42.2744,77.94,88,6,6.29,clear sky
390,Nebbi,UG,2.4783,31.0889,65.68,83,96,4.63,overcast clouds
391,Dahuk,IQ,36.8695,42.994,63.46,29,0,3.2,clear sky
392,Sobradinho,BR,-12.8333,-39.1,69.22,93,55,4.97,broken clouds
393,Novosokolniki,RU,56.3463,30.1578,48.94,74,96,5.7,overcast clouds
394,Mecca,SA,21.4267,39.8261,86.11,23,0,6.2,clear sky
395,Yarmouth,US,41.7057,-70.2286,66.15,55,0,8.05,clear sky
396,Tambacounda,SN,13.7539,-13.7586,96.85,26,0,8.05,clear sky
397,Zaragoza,ES,41.6561,-0.8773,62.02,48,0,23.02,clear sky
398,Burgeo,CA,47.6167,-57.6152,47.37,69,14,14.23,few clouds
399,Marfino,RU,55.7028,37.3822,48.34,70,0,6.71,clear sky
400,Buchanan,LR,5.8808,-10.0467,74.71,92,100,4.47,moderate rain
401,Queimadas,BR,-10.9783,-39.6264,70.16,93,60,8.72,broken clouds
402,Puerto Colombia,CO,10.9878,-74.9547,84.29,77,100,14.45,overcast clouds
403,Owando,CG,-0.4819,15.8999,71.92,93,85,2.39,light rain
404,Mahibadhoo,MV,3.7833,72.9667,82.42,74,90,8.19,overcast clouds
405,Paso De Carrasco,UY,-34.8603,-56.0522,52.25,87,100,17.27,overcast clouds
406,Skibbereen,IE,51.55,-9.2667,55.11,91,86,16.08,overcast clouds
407,Sile,TR,41.1754,29.6133,68.67,70,4,7.7,clear sky
408,Severomorsk,RU,69.0689,33.4162,46.8,71,91,6.89,overcast clouds
409,Khanpur,PK,28.6453,70.6567,92.46,29,0,13.56,clear sky
410,Hamilton,US,39.1834,-84.5333,84.74,71,20,9.22,thunderstorm
411,Kampen,NL,52.555,5.9111,57.97,90,100,15.35,overcast clouds
412,Fuldatal,DE,51.3833,9.5667,61.99,48,0,9.22,clear sky
413,Alice Town,BS,25.7167,-79.3,80.15,72,55,19.04,broken clouds
414,Gardelegen,DE,52.5252,11.3952,52.52,76,77,8.1,broken clouds
415,Nador,MA,35.174,-2.9287,66.45,82,75,6.91,broken clouds
416,Henties Bay,NA,-22.116,14.2845,59.07,82,0,7.94,clear sky
417,Santa Barbara,US,34.7333,-120.0343,82.96,30,0,13.8,clear sky
418,Casa Branca,BR,-21.7739,-47.0864,68.83,62,0,7.31,clear sky
419,Loandjili,CG,-4.7561,11.8578,74.57,90,7,5.46,clear sky
420,Belyy Yar,RU,53.6039,91.3903,64.29,62,0,4.47,clear sky
421,Tessalit,ML,20.1986,1.0114,88.34,24,94,13.49,light rain
422,Boende,CD,-0.2167,20.8667,71.19,96,48,1.5,scattered clouds
423,Ibatiba,BR,-20.2339,-41.5106,59.38,90,46,3.56,scattered clouds
424,Georgiyevskoye,RU,58.731,45.024,38.35,98,99,6.71,overcast clouds
425,Japura,ID,-0.3167,102.35,73.62,98,100,2.3,light rain
426,Siddipet,IN,18.1,78.85,85.96,44,99,9.64,overcast clouds
427,Salvador,SV,13.8333,-88.9167,79.2,85,100,5.21,overcast clouds
428,Bousso,TD,10.4795,16.7117,91.38,33,96,4.21,overcast clouds
429,Coari,BR,-4.085,-63.1414,81.55,79,76,2.28,broken clouds
430,Neustadt,DE,49.7117,12.0872,55.98,72,69,4.14,broken clouds
431,Visselhovede,DE,52.9833,9.6,61.65,60,99,12.03,overcast clouds
432,Neiba,DO,18.5,-71.4167,82.98,45,1,13.94,clear sky
433,Beyneu,KZ,45.3167,55.2,62.04,46,100,14.92,overcast clouds
434,Shakawe,BW,-18.3667,21.85,56.41,38,0,2.1,clear sky
435,Qurayyat,SA,31.3318,37.3428,71.78,21,0,6.91,clear sky
436,Kanniyakumari,IN,8.0833,77.5667,80.29,87,12,16.24,few clouds
437,Manono,CD,-7.3,27.4167,71.01,81,79,2.82,broken clouds
438,Atasu,KZ,48.6814,71.6433,64.83,36,0,3.42,clear sky
439,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.88,39,22,4.25,few clouds
440,General Roca,AR,-39.0333,-67.5833,47.62,34,0,2.06,clear sky
441,Suamico,US,44.6319,-88.0393,56.95,92,100,10.36,moderate rain
442,Natal,BR,-5.795,-35.2094,77.65,94,75,5.75,light rain
443,Samaniego,CO,1.3385,-77.5957,71.31,86,99,0.83,light rain
444,La Rioja,ES,42.25,-2.5,49.78,98,64,5.01,broken clouds
445,Tiznit,MA,29.5833,-9.5,66.58,62,100,1.72,overcast clouds
446,Henderson,US,36.0397,-114.9819,98.82,6,0,6.91,clear sky
447,Lavumisa,SZ,-27.31,31.892,62.65,76,0,3.38,clear sky
448,Tubuala,PA,9.5167,-79.0333,82.47,80,100,2.86,overcast clouds
449,Xuddur,SO,4.1213,43.8894,76.66,68,90,16.04,overcast clouds
450,Nalut,LY,30.3333,10.85,85.51,8,4,6.15,clear sky
451,Kumluca,TR,36.3703,30.2869,74.07,58,14,4.32,few clouds
452,Bonfim,BR,3.0833,-59.95,87.75,68,58,8.1,broken clouds
453,Belem De Sao Francisco,BR,-8.7539,-38.9658,73.81,84,97,15.43,overcast clouds
454,Aksarka,RU,66.5606,67.7975,42.42,68,100,14.36,overcast clouds
455,Nizwa,OM,22.9333,57.5333,87.73,26,0,5.48,clear sky
456,Axim,GH,4.8699,-2.2405,78.93,80,98,5.59,light rain
457,Santa Maria,BR,-29.6842,-53.8069,65.5,82,40,0.0,scattered clouds
458,Gairo,IT,39.8497,9.5047,61.18,74,93,6.91,light rain
459,Iquique,CL,-20.2208,-70.1431,62.64,72,93,6.26,overcast clouds
460,Mvomero,TZ,-6.25,38.6667,71.37,97,88,3.18,overcast clouds
461,Carnarvon,AU,-24.8667,113.6333,71.11,63,100,7.34,overcast clouds
462,Misratah,LY,32.3754,15.0925,74.28,58,0,14.16,clear sky
463,Pinhao,BR,-25.6956,-51.6597,57.49,80,0,2.17,clear sky
464,Virginia Beach,US,36.8529,-75.978,62.65,93,100,16.11,mist
465,Sokolo,ML,14.7328,-6.1219,88.0,41,82,11.99,light rain
466,Gorno-Altaysk,RU,51.9561,85.955,58.84,91,97,4.61,overcast clouds
467,Jalu,LY,29.0331,21.5482,87.48,10,0,8.08,clear sky
468,Richards Bay,ZA,-28.783,32.0377,64.98,80,0,4.7,clear sky
469,Cocobeach,GA,1.0002,9.5823,78.3,78,100,6.51,overcast clouds
470,Olafsvik,IS,64.8945,-23.7142,42.69,84,100,7.34,overcast clouds
471,Belmonte,BR,-15.8631,-38.8828,73.58,81,5,12.46,clear sky
472,Rosas,CO,2.2609,-76.7399,66.31,82,99,2.24,overcast clouds
473,Podor,MR,16.6527,-14.9587,85.95,45,0,4.61,clear sky
474,Vila Velha,BR,-20.3297,-40.2925,74.95,79,0,0.0,clear sky
475,Muyinga,BI,-2.8333,30.3333,57.52,95,92,3.06,overcast clouds
476,Santa Rosa,PH,14.3122,121.1114,82.11,90,76,4.09,broken clouds
477,Ajdabiya,LY,30.7554,20.2263,83.53,15,0,9.57,clear sky
478,Tahoua,NE,14.8888,5.2692,91.63,14,39,8.84,scattered clouds
479,Oskarshamn,SE,57.2645,16.4484,49.98,67,38,6.33,scattered clouds
480,Great Yarmouth,GB,52.6083,1.7305,58.08,89,100,9.93,overcast clouds
481,Bangassou,CF,4.7413,22.8184,68.59,98,83,0.27,broken clouds
482,Sheltozero,RU,61.3667,35.3667,36.46,90,19,4.63,few clouds
483,Seda,LV,57.65,25.75,58.05,97,100,4.38,overcast clouds
484,Ubajara,BR,-3.8544,-40.9211,68.38,81,51,2.08,broken clouds
485,Mayahi,NE,13.9553,7.6712,86.4,8,0,4.52,clear sky
486,Abonnema,NG,4.7084,6.7931,76.48,89,87,4.61,overcast clouds
487,Dingle,PH,10.9995,122.6711,77.92,87,99,2.44,overcast clouds
488,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,78.84,78,12,6.2,few clouds
489,Elizabeth City,US,36.2946,-76.2511,64.02,95,100,12.66,mist
490,Atbasar,KZ,51.8,68.3333,65.25,40,3,10.85,clear sky
491,Sovetskiy,RU,61.3614,63.5842,59.94,75,93,9.08,light rain
492,Umea,SE,63.8284,20.2597,48.13,100,100,4.61,overcast clouds
493,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,77,20,7.4,few clouds
494,Killybegs,IE,54.6333,-8.45,51.55,81,87,17.34,overcast clouds
495,Swellendam,ZA,-34.0226,20.4417,59.58,82,100,5.1,overcast clouds
496,Dondo,MZ,-19.6094,34.7431,65.71,88,0,4.25,clear sky
497,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,75,14.97,broken clouds
498,Ugoofaaru,MV,5.6667,73.0,81.7,80,100,12.3,overcast clouds
499,Sinnamary,GF,5.3833,-52.95,80.94,79,16,9.26,few clouds
500,Uruacu,BR,-14.5247,-49.1408,75.42,34,0,3.85,clear sky
501,Lalibela,ET,12.0333,39.0333,64.74,30,42,5.59,scattered clouds
502,Quatre Cocos,MU,-20.2078,57.7625,71.1,70,31,7.56,scattered clouds
503,Shieli,KZ,44.1667,66.75,74.03,40,0,11.7,clear sky
504,Praia,CV,14.9215,-23.5087,72.14,73,20,13.8,few clouds
505,Normandin,CA,48.8333,-72.5321,68.31,47,100,8.55,overcast clouds
506,Vestmannaeyjar,IS,63.4427,-20.2734,45.82,70,34,3.49,scattered clouds
507,Nurota,UZ,40.5614,65.6886,76.12,32,64,7.49,broken clouds
508,Contai,IN,21.7786,87.7536,82.54,81,3,9.04,clear sky
509,Walvis Bay,NA,-22.9575,14.5053,55.09,100,0,3.44,clear sky
510,Elliot Lake,CA,46.3834,-82.6331,57.87,58,100,8.34,overcast clouds
511,Viedma,AR,-40.8135,-62.9967,44.49,54,1,7.52,clear sky
512,Bara,NG,10.3744,10.7288,88.14,33,19,5.14,few clouds
513,Garissa,KE,-0.4536,39.6401,77.29,77,39,14.67,scattered clouds
514,Tres Arroyos,AR,-38.3739,-60.2798,44.96,60,5,8.59,clear sky
515,Clarence Town,AU,-32.5833,151.7833,55.56,97,98,1.9,overcast clouds
516,Baft,IR,29.234,56.6057,62.91,8,0,2.24,clear sky
517,Abu Zabad,SD,12.35,29.25,86.36,12,60,7.85,broken clouds
518,Amboasary,MG,-25.0333,46.3833,68.59,89,0,2.19,clear sky
519,Kuytun,RU,54.3419,101.5036,52.59,60,0,4.34,clear sky
520,Cachira,CO,7.741,-73.0483,62.58,91,100,3.27,overcast clouds
521,Ciudad Bolivar,VE,8.1222,-63.5497,89.47,50,76,12.37,broken clouds
522,Bonito,BR,-21.1211,-56.4819,76.93,43,19,3.4,few clouds
523,Le Port,RE,-20.9373,55.2919,69.8,63,3,4.36,clear sky
524,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,89.15,35,78,8.05,broken clouds
525,Newala,TZ,-10.9431,39.2787,64.09,95,6,4.94,clear sky
526,Channel-Port Aux Basques,CA,47.5702,-59.1367,46.98,72,0,8.86,clear sky
527,Berbera,SO,10.4396,45.0143,85.91,69,92,4.38,overcast clouds
528,Calama,CL,-22.4667,-68.9333,70.29,3,0,19.57,clear sky
529,San Rafael,AR,-34.6177,-68.3301,43.75,78,100,9.42,overcast clouds
530,Vagur,FO,61.4732,-6.8119,46.98,80,12,20.8,few clouds
531,Iskateley,RU,67.6803,53.1512,49.35,71,100,17.36,overcast clouds
532,Ekibastuz,KZ,51.6667,75.3667,65.48,38,100,6.82,overcast clouds
533,Villa Rica,US,33.7321,-84.9191,74.8,94,100,6.58,light rain
534,Abha,SA,18.2164,42.5053,70.05,46,40,0.0,light rain
